experiment

dia 0

espesor 100 //um



foto 3

foto 2

ancho lesion  0 // um

pin 1
X (um)	Y (um)
146.333	562.333

pin 8
X (um)	Y (um)
169.667	474.333

pin 10
X (um)	Y (um)
157.333	107.333

celulas
X (um)	Y (um)	TIPO	PB
X (um)	Y (um)
849.333	362.667
849.333	377.333
844	397.333
848	421.333
850.667	441.333
849.333	464
852	493.333
852	517.333
850.667	542.667
852	565.333
849.333	584
850.667	618.667
852	638.667

limite foto
X (um)	Y (um)
449.333	628
334.667	626.667
201.333	608
48	574.667
2.667	533.333
8	285.333
42.667	189.333
129.333	181.333
253.333	178.667
432	216
609.333	200
849.333	216
850.667	621.333

vaso
X (um)	Y (um)
239.333	207.667
228	203
216.667	212.333
218.667	227
234.667	222.333

vaso
X (um)	Y (um)	
300.667	217
291.333	221
292.667	228.333
300.667	228.333
307.333	221.667

vaso
X (um)	Y (um)	
290	345.667
274	350.333
268	364.333
277.333	376.333
292	369.667
294.667	359

vaso
X (um)	Y (um)	
305.444	299.778
296.111	299.778
291.222	311.333
301.444	312.667
308.556	308.667

vaso
X (um)	Y (um)	
272.556	285.556
258.333	292.222
257.889	299.333
266.778	297.556
273.444	295.778

vaso
X (um)	Y (um)	
243.222	293.556
235.667	295.333
223.667	305.556
217.889	314
226.778	316.222
235.667	311.333

vaso
X (um)	Y (um)	
243.667	302.444
244.111	426.556
236.111	422.111
227.667	423
221	426.111
219.222	431.444
230.778	435.889
240.556	432.778

vaso
X (um)	Y (um)	
112.667	486.667
105.333	486.667
90.667	489.333
94.667	497.333
106.667	498.667

vaso
X (um)	Y (um)	
482.667	420.667
468	411.333
451.333	408.667
450.667	424.667
470	430

vaso
X (um)	Y (um)	
424	466.667
424	456.667
397.333	465.333
374	480.667
378.667	514.667
398.667	510
406	499.333
405.333	481.333
414	476

vaso
X (um)	Y (um)	
72	411.333
74.667	398
81.333	383.333
89.333	386
84	401.333
77.333	418.667

vaso
X (um)	Y (um)	
522.667	296
512.667	298
513.333	309.333
524.667	308
530.667	298.667

vaso
X (um)	Y (um)	
570.667	260
556.667	260
556.667	272
564	274
576	271.333

vaso
X (um)	Y (um)	
422	430
413.333	420.667
392.667	416
396	430
398.667	439.333
408	442.667
414.667	440

vaso
X (um)	Y (um)	
572.667	501.333
564	508.667
557.333	519.333
566.667	520
574.667	510

vaso
X (um)	Y (um)	
616	580
606.667	578
599.333	592
609.333	596.667
616.667	590.667

vaso
X (um)	Y (um)	
624.667	338.667
608	342
617.333	355.333
626	355.333
637.333	346.667
648	368
665.333	351.333
683.333	354
696.667	356
695.333	366.667
672	370
657.333	370

vaso
X (um)	Y (um)	
630.667	212.667
622.667	210
616	221.333
625.333	222
